PNAME,POS,TEAM,YEAR,TYPE,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Obinna Ekezie,C,atl,2005,33,1.7,4.2,41.8,0,0.1,0,1.8,2.5,72.9,1.7,4.1,42.3,1.278,0.42
Boris Diaw,C,atl,2005,33,1.9,4.1,46,0.1,0.8,16.7,0.6,0.8,75,1.7,3.3,52.9,1.095,0.48
Jon Barry,SG,atl,2005,33,1.7,3.9,42.9,0.4,1.6,28.6,0.6,0.9,62.5,1.2,2.3,52.4,1.114,0.49
Royal Ivey,PG,atl,2005,33,1.6,3.7,44.3,0.1,0.2,40,0.9,1.2,69.4,1.6,3.5,44.6,1.142,0.45
Kevin Willis,C,atl,2005,33,1.6,3.6,44,0,0.1,0,0.6,0.9,69.2,1.6,3.5,44.9,1.06,0.44
Donta Smith,SG,atl,2005,33,1.3,3.2,41,0.2,0.7,30.8,0.9,1.4,63,1.1,2.5,43.8,1.164,0.44
Michael Stewart,PF,atl,2005,33,0.8,2.2,36.4,0,0,0,0,0.6,0,0.8,2.2,36.4,0.727,0.36
Jelani McCoy,PF,atl,2005,33,0.6,1.4,45.5,0,0,0,0.1,0.5,25,0.6,1.4,45.5,1,0.45
James Thomas,SF,atl,2005,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Antoine Walker,PF,atl,2005,34,7.7,19.9,38.8,1.3,5.3,25.5,2.5,4.9,50,6.4,14.7,43.6,0.967,0.42
Al Harrington,PF,atl,2005,34,7,15.6,44.7,0.3,1.4,22.2,3.4,5,68.5,6.7,14.2,46.9,1.134,0.46
Tyronn Lue,PG,atl,2005,34,5.3,11.1,48.3,0.8,2.2,38.6,3.4,3.9,87.1,4.5,8.9,50.6,1.347,0.52
Tony Delk,PG,atl,2005,34,4.1,9.9,41.1,1.1,3,37.7,1.5,2.2,71.4,3,7,42.5,1.089,0.47
Josh Childress,F,atl,2005,34,3.9,8.1,47.8,0.2,0.7,25,2.6,3.2,81,3.7,7.4,50,1.293,0.49
Josh Smith,PF,atl,2005,34,3.6,8.3,44.1,0.1,0.4,14.3,2.4,3.5,67.4,3.6,7.9,45.5,1.173,0.44
Predrag Drobnjak,C,atl,2005,34,3.6,7.6,47.3,0.4,0.9,41.2,1,1.3,77.1,3.2,6.6,48.1,1.132,0.5
Tom Gugliotta,PF,atl,2005,34,3.1,7.8,39.2,0.3,1.3,23.5,0.8,1.3,64.7,2.8,6.5,42.4,0.931,0.41
Jon Barry,SG,atl,2005,34,2.3,6,38.1,1,2.6,38.9,0.7,0.7,100,1.3,3.4,37.5,1.048,0.46
Obinna Ekezie,C,atl,2005,34,2,4.5,44.7,0,0,0,1.6,2,82.2,2,4.5,44.7,1.252,0.45
Jason Collier,C,atl,2005,34,2.4,5,48.4,0,0.2,20,0.6,1,64.5,2.4,4.8,49.4,1.101,0.49
Boris Diaw,C,atl,2005,34,1.9,4.8,39.3,0.1,0.7,19.2,1.1,1.5,73.6,1.7,4.1,43,1.048,0.41
Kenny Anderson,PG,atl,2005,34,1.9,4.7,40,0.1,0.3,33.3,0.6,0.8,73.3,1.8,4.4,40.5,0.953,0.41
Royal Ivey,PG,atl,2005,34,1.2,2.8,41.3,0,0.1,25,0.7,0.9,71,1.1,2.7,42,1.076,0.42
Donta Smith,SG,atl,2005,34,1,2.7,36.5,0.1,0.5,22.2,0.8,1.1,76.2,0.9,2.3,39.5,1.077,0.38
Michael Stewart,PF,atl,2005,34,1,1.4,70,0,0,0,0.4,0.6,75,1,1.4,70,1.7,0.7
Kevin Willis,C,atl,2005,34,0.9,2.7,32.5,0,0.1,0,0.5,0.7,80,0.9,2.6,33.3,0.85,0.33
Jelani McCoy,PF,atl,2005,34,1,1,100,0,0,0,0,0.5,0,1,1,100,2,1
Anthony Miller,PF,atl,2005,34,1,1.5,66.7,0,0,0,0,0,0,1,1.5,66.7,1.333,0.67
James Thomas,SF,atl,2005,34,1,1,100,0,0,0,0,0,0,1,1,100,2,1
Joe Johnson,G,atl,2006,33,8.5,18.5,46,1.8,4.7,37.1,3.3,4.2,79.1,6.8,13.8,49.1,1.195,0.51
Al Harrington,PF,atl,2006,33,7.5,16.5,45.4,0.8,2.3,35.2,3.9,5.5,71.6,6.7,14.2,47,1.195,0.48
Zaza Pachulia,C,atl,2006,33,4.1,8.9,46.4,0,0,0,4.4,5.7,76.2,4.1,8.9,46.4,1.418,0.46
Tyronn Lue,PG,atl,2006,33,4.3,8.4,50.7,1.5,3,49.3,1.5,1.7,92.5,2.8,5.3,51.6,1.378,0.6
Josh Smith,PF,atl,2006,33,4.4,9.8,44.7,0.5,1.4,35.1,2,3,68.6,3.9,8.4,46.2,1.149,0.47
Salim Stoudamire,SG,atl,2006,33,3.2,7.4,42.8,1.3,3.5,36.9,1.7,1.8,94.8,1.9,3.9,48,1.263,0.51
Josh Childress,F,atl,2006,33,3.5,6.4,54.3,0.4,0.9,38.9,1.8,2.4,76.1,3.1,5.4,57,1.432,0.57
Marvin Williams,F,atl,2006,33,2.9,6.4,45.8,0.1,0.6,16.7,2.3,3.2,71.8,2.8,5.8,48.7,1.29,0.47
Anthony Grundy,PG,atl,2006,33,1.1,2.1,53.3,0.7,1.1,62.5,0.4,0.6,75,0.4,1,42.9,1.6,0.7
Royal Ivey,PG,atl,2006,33,1.4,3.1,44.2,0,0.1,0,0.1,0.1,80,1.4,3,45,0.92,0.44
John Edwards,C,atl,2006,33,0.4,0.8,44.4,0,0,0,0.1,0.1,66.7,0.4,0.8,44.4,1,0.44
