PNAME,POS,TEAM,YEAR,TYPE,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Corliss Williamson,PF,det,2002,33,5.2,10.7,48.6,0,0.1,33.3,3.1,3.9,79.1,5.2,10.6,48.7,1.264,0.49
Chucky Atkins,PG,det,2002,33,4.4,9.8,44.5,1.7,4.4,39.1,1.1,1.7,68.1,2.7,5.4,48.9,1.182,0.53
Jon Barry,SG,det,2002,33,3.3,6.8,48.7,1.5,3.4,44.2,1.4,1.4,94.9,1.8,3.4,53.2,1.394,0.6
Ben Wallace,PF,det,2002,33,3.2,6,52.8,0,0.1,0,1.4,3.1,45.4,3.2,5.9,53.2,1.288,0.53
Zeljko Rebraca,C,det,2002,33,2.2,4.4,50.9,0,0,0,1.8,2.4,77,2.2,4.4,50.9,1.429,0.51
Dana Barros,PG,det,2002,33,2.2,5.8,38.2,1.1,2.6,41.2,0.6,0.7,88.9,1.2,3.2,35.7,1.053,0.47
Damon Jones,PG,det,2002,33,1.9,4.7,40.6,1.3,3.3,38.6,0.5,0.8,66.7,0.7,1.5,45.1,1.188,0.54
Rodney White,SF,det,2002,33,1.9,5,37.5,0.3,0.8,33.3,1.3,1.3,100,1.6,4.3,38.2,1.05,0.4
Ratko Varda,C,det,2002,33,2,3,66.7,0,0,0,1,1,100,2,3,66.7,1.667,0.67
Michael Curry,SF,det,2002,33,1.9,3.9,47.8,0,0.3,18.2,1.1,1.3,85.5,1.8,3.7,50,1.261,0.48
Mikki Moore,C,det,2002,33,1.2,2.4,51.6,0.1,0.1,100,0.7,0.9,75,1.2,2.3,50,1.355,0.53
Victor Alexander,F,det,2002,33,1,3.2,31,0,0,0,0.3,0.7,50,1,3.2,31,0.724,0.31
Brian Cardinal,PF,det,2002,33,0.8,2,37.5,0,0.8,0,0.5,0.5,100,0.8,1.3,60,1,0.38
Jerry Stackhouse,SF,det,2002,34,6.5,17.6,37,1.1,3.9,28.1,6.6,7.5,87.7,5.4,13.7,39.5,1.175,0.4
Clifford Robinson,PF,det,2002,34,5.6,13.2,42.4,1.6,4.2,37.8,1.9,2.7,70.9,4,9,44.6,1.113,0.48
Corliss Williamson,PF,det,2002,34,5.4,10,53.6,0,0.1,0,3.1,3.7,82.1,5.4,9.9,53.9,1.377,0.54
Chucky Atkins,PG,det,2002,34,5,10.2,48.7,1.8,4.1,43.3,0.9,1.3,70.6,3.2,6.1,52.4,1.242,0.57
Jon Barry,SG,det,2002,34,2.9,5.9,49,1.5,2.9,50,1.3,1.4,91.2,1.4,3,48,1.44,0.61
Zeljko Rebraca,C,det,2002,34,2.9,5.7,50.2,0,0,0,1.8,2.4,77.3,2.9,5.7,50.2,1.327,0.5
Ben Wallace,PF,det,2002,34,3.2,6,53.4,0,0,0,1.1,2.8,39.1,3.2,6,53.7,1.251,0.53
Dana Barros,PG,det,2002,34,2.8,7.3,38.8,0.6,2.3,27,0.8,1.1,72.2,2.2,4.9,44.3,0.974,0.43
Damon Jones,PG,det,2002,34,1.5,3.7,39.5,0.8,2.3,34.7,0.8,1,78.1,0.7,1.5,46.8,1.21,0.5
Victor Alexander,F,det,2002,34,1.5,3.7,40.9,0,0.3,0,0.2,0.3,50,1.5,3.3,45,0.864,0.41
Michael Curry,SF,det,2002,34,1.2,2.8,41.7,0.1,0.4,33.3,0.6,0.9,69.4,1,2.4,43,1.096,0.44
Brian Cardinal,PF,det,2002,34,0.8,1.3,60,0.8,1,75,0,0,0,0,0.3,0,1.8,0.9
Mikki Moore,C,det,2002,34,0.8,1.8,43.3,0,0.1,0,0.6,0.8,78.6,0.8,1.7,44.8,1.233,0.43
Rodney White,SF,det,2002,34,0.8,2.5,30,0,0.4,0,0.3,0.5,50,0.8,2.1,35.3,0.7,0.3
Richard Hamilton,SG,det,2003,33,6.9,15.8,44,0.4,1.5,24.6,5,6.1,81.3,6.6,14.3,46,1.22,0.45
Chauncey Billups,PG,det,2003,33,5.2,12.3,42.2,2.1,5.5,37.6,4.4,5.2,84,3.1,6.8,45.9,1.368,0.51
Corliss Williamson,PF,det,2003,33,4.6,9.7,47.2,0,0.1,0,3.1,3.9,78.3,4.6,9.5,47.8,1.263,0.47
Clifford Robinson,PF,det,2003,33,4.3,10.9,40,1.1,3.1,34.1,2.2,3.1,69,3.3,7.7,42.4,1.099,0.45
Chucky Atkins,PG,det,2003,33,2.7,7.2,37.8,1.5,4.2,36.1,0.8,0.9,84.6,1.2,3,40.2,1.072,0.48
Zeljko Rebraca,C,det,2003,33,2.9,4.5,63.5,0,0,0,1.7,2.1,82.8,2.9,4.5,63.5,1.651,0.63
Ben Wallace,PF,det,2003,33,3.1,6.3,48.7,0,0.1,33.3,1.2,3,40,3,6.2,48.9,1.168,0.49
Mehmet Okur,C,det,2003,33,2.6,5.5,46.9,0.7,1.6,41.8,1.3,1.8,75.8,1.9,3.9,48.9,1.302,0.53
Jon Barry,SG,det,2003,33,2.4,5,47.6,1.2,2.7,43.6,1.1,1.3,88.5,1.2,2.3,52.1,1.408,0.59
Michael Curry,SF,det,2003,33,1.5,3.2,46.8,0.3,0.8,35.5,0.6,0.7,88.9,1.2,2.4,50.5,1.214,0.51
Tayshaun Prince,SF,det,2003,33,1.2,2.3,52,0.5,1,47.6,0.3,0.5,70,0.7,1.3,55.2,1.38,0.62
Hubert Davis,SG,det,2003,33,0.7,1.8,41.3,0.3,0.8,36.4,0.1,0.1,66.7,0.4,0.9,45.8,1.043,0.5
Danny Manning,F,det,2003,33,0.4,1,42.9,0.1,0.4,33.3,0.1,0.3,50,0.3,0.6,50,1.143,0.5
Pepe Sanchez,G,det,2003,33,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
Richard Hamilton,SG,det,2003,34,7,15.6,44.7,0.4,1.4,29.3,5.7,6.7,85.1,6.6,14.2,46.2,1.288,0.46
Chauncey Billups,PG,det,2003,34,4.7,11.2,41.9,2,4.8,41,4.2,4.6,92,2.7,6.4,42.6,1.389,0.51
Clifford Robinson,PF,det,2003,34,4.9,12.3,39.6,1.1,3.3,33.1,1.8,2.7,66.1,3.8,9,41.9,1.027,0.44
Corliss Williamson,PF,det,2003,34,4.6,10.5,43.5,0,0.1,33.3,2.7,3.4,79.9,4.5,10.3,43.6,1.133,0.44
Jon Barry,SG,det,2003,34,2.4,5.6,42.7,1,2.7,37.5,1,1.2,83.3,1.4,2.9,47.4,1.216,0.52
Chucky Atkins,PG,det,2003,34,2.5,7.1,34.8,1.2,3.3,35,0.5,0.6,78.3,1.3,3.8,34.6,0.93,0.43
Mehmet Okur,C,det,2003,34,2.4,6.2,39,0.4,1.5,26.3,1.3,1.9,71,2,4.7,43.1,1.056,0.42
Ben Wallace,PF,det,2003,34,2.7,5.7,47.3,0,0.1,0,1.1,2.2,51.9,2.7,5.6,48,1.146,0.47
Zeljko Rebraca,C,det,2003,34,2.5,5.1,48.8,0,0,0,0.9,1.2,73.7,2.5,5.1,48.8,1.146,0.49
Danny Manning,F,det,2003,34,1.7,4.2,40,0.3,0.8,40,0.7,0.7,100,1.3,3.3,40,1.04,0.44
Tayshaun Prince,SF,det,2003,34,1.4,3.4,39.7,0.5,1.3,38.5,0.2,0.4,57.1,0.9,2.1,40.5,1,0.47
Michael Curry,SF,det,2003,34,0.9,2.7,32,0.1,0.6,21.7,0.3,0.5,66.7,0.7,2.1,35,0.806,0.34
Hubert Davis,SG,det,2003,34,0.7,1.9,36.4,0.2,0.8,28.6,0.2,0.2,100,0.5,1.1,42.1,0.939,0.42
Don Reid,F,det,2003,34,0,3,0,0,0,0,1,2,50,0,3,0,0.333,0
Pepe Sanchez,G,det,2003,34,0,0.6,0,0,0,0,0,0,0,0,0.6,0,0,0
Richard Hamilton,SG,det,2004,33,7,15,47.1,0.3,1,29.3,4,4.8,84.2,6.8,14,48.4,1.232,0.48
Chauncey Billups,PG,det,2004,33,5.1,12.9,39.2,1.8,4.4,40.7,4.5,5.2,85.8,3.3,8.5,38.4,1.27,0.46
Rasheed Wallace,PF,det,2004,33,4.9,11.2,43.8,1.1,2.9,37.9,1.6,2.8,57.1,3.8,8.3,45.8,1.116,0.49
Tayshaun Prince,SF,det,2004,33,4.1,8.8,46.1,0.8,1.9,41,1.1,1.5,73,3.3,6.9,47.5,1.138,0.51
Mehmet Okur,C,det,2004,33,3.7,7.9,46.5,0.3,0.7,40.7,2.4,3,78.9,3.4,7.2,47.1,1.268,0.48
Corliss Williamson,PF,det,2004,33,4.1,7.5,54.4,0,0,0,1.8,2.4,73.2,4.1,7.5,54.4,1.326,0.54
Ben Wallace,PF,det,2004,33,3.9,9.7,40.4,0,0.1,0,1.6,3.6,44.6,3.9,9.5,40.9,0.975,0.4
Chucky Atkins,PG,det,2004,33,2.3,5.7,39.7,1.2,3.6,34.2,0.9,1.3,67.9,1,2.1,48.9,1.159,0.5
Mike James,PG,det,2004,33,2.2,5.3,42,0.8,2.2,39.3,1.2,1.3,88.2,1.4,3.2,43.9,1.217,0.5
Elden Campbell,C,det,2004,33,2.1,4.4,47.3,0,0,0,1.2,1.9,63,2.1,4.4,47.3,1.209,0.47
Bob Sura,PG,det,2004,33,1.4,3.2,43.8,0.2,0.7,23.5,0.6,1,61.5,1.2,2.5,49.2,1.125,0.46
Lindsey Hunter,SG,det,2004,33,1.3,4.2,30.2,0.5,1.6,33.3,0.2,0.2,100,0.7,2.6,28.2,0.778,0.37
Zeljko Rebraca,C,det,2004,33,1,2.8,36,0,0,0,0.8,1,77.8,1,2.8,36,1,0.36
Tremaine Fowlkes,PF,det,2004,33,0.7,1.7,38.5,0.1,0.3,20,0.6,0.9,64.3,0.6,1.4,42.9,1.154,0.4
Darvin Ham,SF,det,2004,33,0.7,1.2,55.6,0,0,0,0.4,0.7,60,0.7,1.2,55.6,1.444,0.56
Darko Milicic,C,det,2004,33,0.6,2.2,29.3,0,0,0,0.3,0.6,45.5,0.6,2.2,29.3,0.707,0.29
Hubert Davis,SG,det,2004,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Chauncey Billups,PG,det,2004,34,5,12.6,39.6,1.5,4.2,36.8,5.9,6.6,89.5,3.5,8.5,40.9,1.377,0.46
Richard Hamilton,SG,det,2004,34,6.5,14.9,43.6,0.2,0.7,22.2,3.6,3.9,90.4,6.4,14.2,44.7,1.121,0.44
Rasheed Wallace,PF,det,2004,34,6,14.1,42.6,0.9,3.3,27.5,1.8,2.2,84.6,5.1,10.8,47.3,1.047,0.46
Tayshaun Prince,SF,det,2004,34,4.2,8.8,47.4,0.6,1.9,31.6,1.5,1.9,79.5,3.6,6.9,51.8,1.188,0.51
Ben Wallace,PF,det,2004,34,3.9,8.8,44,0,0.1,33.3,1.9,3.6,53.5,3.9,8.7,44.1,1.099,0.44
Mehmet Okur,C,det,2004,34,3.4,7.4,46.1,0.2,0.6,33.3,2.2,2.9,75.8,3.2,6.7,47.3,1.247,0.48
Corliss Williamson,PF,det,2004,34,3.6,7.8,46.7,0,0,0,1.9,2.6,73,3.6,7.8,46.7,1.174,0.47
Mike James,PG,det,2004,34,2.3,6,38.5,0.7,2.1,33.3,0.9,1.2,80,1.6,3.9,41.2,1.038,0.44
Chucky Atkins,PG,det,2004,34,2.1,6.1,34.9,0.8,2.8,29.4,0.7,0.8,80,1.3,3.2,39.7,0.945,0.42
Elden Campbell,C,det,2004,34,2.1,5.1,41.6,0,0,0,1.4,1.9,72.9,2.1,5.1,41.6,1.108,0.42
Bob Sura,PG,det,2004,34,1.3,3.3,38.7,0.2,0.7,26.3,1.1,1.5,74.4,1.1,2.6,41.9,1.172,0.41
Lindsey Hunter,SG,det,2004,34,1.7,4.4,37.5,0.3,1.4,23.1,0.1,0.3,40,1.3,3,44.4,0.85,0.41
Zeljko Rebraca,C,det,2004,34,1.1,2.4,44.8,0,0,0,1.3,1.6,78.9,1.1,2.4,44.8,1.414,0.45
Darvin Ham,SF,det,2004,34,0.7,1.6,43.6,0,0.1,50,0.4,0.6,60,0.6,1.5,43.2,1.128,0.45
Darko Milicic,C,det,2004,34,0.3,1.6,20.8,0,0.1,0,0.6,0.9,69.2,0.3,1.5,21.7,0.792,0.21
Tremaine Fowlkes,PF,det,2004,34,0.2,1,22.7,0,0.1,0,0.2,0.2,100,0.2,0.9,26.3,0.636,0.23
Hubert Davis,SG,det,2004,34,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
Richard Hamilton,SG,det,2005,33,6.4,15.4,41.8,0.5,1.8,26.8,5.3,6,87.9,6,13.6,43.8,1.21,0.43
Chauncey Billups,PG,det,2005,33,4.9,11.3,43.6,2.1,5.2,39.8,4.2,4.6,91.8,2.9,6.1,46.7,1.427,0.53
Tayshaun Prince,SF,det,2005,33,5.3,11.7,45.6,0.6,1.7,32.4,3,3.7,81.3,4.8,10,47.9,1.215,0.48
Rasheed Wallace,PF,det,2005,33,5.6,12.4,44.8,1,3,33.1,1.4,2.2,66.3,4.6,9.4,48.5,1.091,0.49
Ben Wallace,PF,det,2005,33,4.1,9.2,45.1,0,0.2,16.7,1.8,3.7,47.9,4.1,9,45.6,1.101,0.45
Antonio McDyess,PF,det,2005,33,3.9,7.3,54.1,0,0,0,2,2.8,70.9,3.9,7.2,54.3,1.357,0.54
Carlos Arroyo,PG,det,2005,33,1.9,5.1,37.6,0.1,0.2,25,1.8,2.3,78.3,1.9,4.9,38.1,1.119,0.38
Smush Parker,PG,det,2005,33,1.8,4.2,42.9,0.4,1.4,28.6,0.6,1.2,50,1.4,2.8,50,1.095,0.48
Horace Jenkins,PG,det,2005,33,1.3,3.4,37.5,0,0.9,0,0.9,0.9,100,1.3,2.6,50,1,0.38
Elden Campbell,C,det,2005,33,1.1,4.1,26.4,0,0.2,0,1.2,1.4,83.3,1.1,3.9,27.5,0.811,0.26
Lindsey Hunter,SG,det,2005,33,1.4,4.1,33.1,0.3,1.1,25,0.3,0.3,90.9,1.1,3,36,0.795,0.36
Ronald Dupree,SF,det,2005,33,1.3,2.8,44.1,0,0.1,50,0.6,1,62.5,1.2,2.8,43.9,1.118,0.45
Carlos Delfino,SG,det,2005,33,1.1,3,35.4,0.3,1.1,29.4,0.5,0.9,57.1,0.8,1.9,38.7,0.979,0.41
Anthony Goldwire,PG,det,2005,33,0.3,2,16.7,0.2,1,16.7,1.2,1.3,87.5,0.2,1,16.7,1,0.21
Darko Milicic,C,det,2005,33,0.7,2.1,31.1,0,0,0,0.5,0.7,71.4,0.7,2.1,31.1,0.844,0.31
Darvin Ham,SF,det,2005,33,0.5,1,50,0,0,0,0.3,0.9,38.1,0.5,1,50,1.333,0.5
Derrick Coleman,PF,det,2005,33,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Richard Hamilton,SG,det,2005,34,7,15.1,46.4,0.5,1.3,36.2,4.4,5.3,83.1,6.6,13.8,47.4,1.248,0.48
Chauncey Billups,PG,det,2005,34,5.2,11.6,44.9,2.1,4.5,45.9,4.4,5,87.9,3.1,7.1,44.3,1.456,0.54
Rasheed Wallace,PF,det,2005,34,6.3,14.5,43.2,0.9,3,30.5,2,2.8,72.5,5.4,11.5,46.5,1.067,0.46
Tayshaun Prince,SF,det,2005,34,6.1,11.8,51.8,0.6,1.6,35.8,2.4,3,79.8,5.5,10.1,54.3,1.29,0.54
Ben Wallace,PF,det,2005,34,3.8,8.4,45.6,0,0.1,0,1.7,4.5,38,3.8,8.3,46,1.116,0.46
Antonio McDyess,PF,det,2005,34,4.1,8.3,48.9,0,0,0,1.3,2.2,58.5,4.1,8.3,48.9,1.13,0.49
Carlos Arroyo,PG,det,2005,34,1.8,4.8,37.5,0,0.4,0,1.5,2,75,1.8,4.4,40.9,1.063,0.38
Carlos Delfino,SG,det,2005,34,1.8,4.9,36.2,0.3,1.3,22.2,1.1,1.9,57.7,1.5,3.6,41.2,1,0.39
Elden Campbell,C,det,2005,34,1.5,3.7,39.7,0,0,0,1.5,1.9,75.8,1.5,3.7,39.7,1.19,0.4
Lindsey Hunter,SG,det,2005,34,1.5,3.9,38.4,0.3,1.1,29.5,0.9,1.2,76.6,1.2,2.7,42.1,1.093,0.43
Ronald Dupree,SF,det,2005,34,1.3,2.6,52.5,0,0,0,0.6,1,60.9,1.3,2.6,52.5,1.288,0.53
Derrick Coleman,PF,det,2005,34,1,3.3,30,0,0.7,0,1,1,100,1,2.7,37.5,0.9,0.3
Horace Jenkins,PG,det,2005,34,0.8,2.6,28.6,0,0.4,0,0.8,0.9,85.7,0.8,2.3,33.3,0.857,0.29
Anthony Goldwire,PG,det,2005,34,0.7,1,66.7,0.7,1,66.7,0,0,0,0,0,0,2,1
Darko Milicic,C,det,2005,34,0.7,1.9,35.5,0,0,0,0.4,0.6,70,0.7,1.9,35.5,0.935,0.35
Smush Parker,PG,det,2005,34,0.3,1.2,28.6,0,0.3,0,1,1.2,85.7,0.3,0.8,40,1.429,0.29
Darvin Ham,SF,det,2005,34,0.2,0.5,38.5,0,0,0,0.2,0.4,40,0.2,0.5,38.5,1.077,0.38
Richard Hamilton,SG,det,2006,33,8.2,16.7,48.8,0.7,1.6,44.8,3.3,4,83.5,7.4,15.1,49.3,1.22,0.51
Chauncey Billups,PG,det,2006,33,5.1,12.5,40.8,2.2,5,42.8,6.3,7.1,88.7,3,7.5,39.5,1.492,0.49
Rasheed Wallace,PF,det,2006,33,5.7,13,43.7,1.9,5.2,36.5,1.8,2.4,76.6,3.8,7.8,48.6,1.16,0.51
Tayshaun Prince,SF,det,2006,33,6,12.3,48.4,0.8,2.3,33.3,2.3,3,76.8,5.2,10,51.8,1.22,0.51
Ben Wallace,PF,det,2006,33,3.3,6.5,50.6,0,0.1,0,1.8,3.8,48.1,3.3,6.4,51.3,1.292,0.51
Antonio McDyess,PF,det,2006,33,3.5,6.9,51.2,0,0,0,1,1.7,58,3.5,6.8,51.4,1.167,0.51
Tony Delk,PG,det,2006,33,2.8,6.9,41,0.7,1.9,34.8,0.8,1,83.3,2.2,5,43.3,1.036,0.46
Maurice Evans,SG,det,2006,33,2.1,4.4,48.2,0.6,1.5,37.3,0.7,0.9,75.7,1.5,2.8,54.1,1.259,0.55
Carlos Arroyo,PG,det,2006,33,1.4,3.2,43.8,0,0.1,0,1,1.3,75,1.4,3.1,45.5,1.175,0.44
Carlos Delfino,SG,det,2006,33,1.2,3,40,0.2,0.9,25.8,0.6,0.9,67.7,1,2.1,45.9,1.076,0.44
Lindsey Hunter,SG,det,2006,33,1.2,3.3,35.8,0.3,1.4,21.7,0,0.1,0,0.9,1.9,46.7,0.811,0.41
Jason Maxiell,PF,det,2006,33,0.7,1.9,37.9,0,0,0,0.3,1.3,26.3,0.7,1.9,37.9,0.931,0.38
Kelvin Cato,C,det,2006,33,0.7,2,33.3,0,0,0,0,0,0,0.7,2,33.3,0.667,0.33
Alex Acker,G,det,2006,33,0.5,2,25,0.3,0.8,33.3,0,0,0,0.3,1.3,20,0.625,0.31
Darko Milicic,C,det,2006,33,0.5,1.2,46.7,0,0.2,0,0.1,0.5,16.7,0.5,1,53.8,1,0.47
Dale Davis,PF,det,2006,33,0.3,1.1,23.1,0,0.1,0,0.2,0.5,33.3,0.3,1,25,0.615,0.23
Amir Johnson,F,det,2006,33,0,2,0,0,1,0,0,0,0,0,1,0,0,0
Richard Hamilton,SG,det,2006,34,8.1,16.3,49.4,0.6,1.4,47.2,3.1,3.6,85.6,7.4,14.9,49.6,1.214,0.51
Chauncey Billups,PG,det,2006,34,5.3,12.5,42.8,2.4,5.5,43.8,5.2,5.8,90.3,3,7,42,1.463,0.52
Rasheed Wallace,PF,det,2006,34,5.8,13.7,42.3,2,5.7,35,1.6,2.2,71.9,3.8,8.1,47.5,1.108,0.5
Tayshaun Prince,SF,det,2006,34,5.1,12.1,42.6,0.8,2.2,36.7,2.1,2.8,76.1,4.3,9.9,44,1.093,0.46
Amir Johnson,F,det,2006,34,3.5,4,87.5,1,1,100,2,2,100,2.5,3,83.3,2.5,1
Tony Delk,PG,det,2006,34,3.4,7,48.1,1.1,2.2,50,0.7,1.2,61.5,2.3,4.8,47.2,1.221,0.56
Antonio McDyess,PF,det,2006,34,3.4,6.8,50.5,0,0,0,0.7,1.3,52.8,3.4,6.8,50.7,1.111,0.51
Ben Wallace,PF,det,2006,34,2.5,4.8,51.5,0,0,0,1.2,3.4,34.3,2.5,4.8,51.5,1.273,0.52
Kelvin Cato,C,det,2006,34,3,6,50,0,0,0,0,0,0,3,6,50,1,0.5
Maurice Evans,SG,det,2006,34,1.8,4.2,42.1,0.5,1.4,36.8,0.6,0.7,85.7,1.2,2.8,44.7,1.105,0.48
Carlos Delfino,SG,det,2006,34,1.5,3.7,40.5,0.4,0.9,41.4,0.7,1.1,66.7,1.1,2.8,40.2,1.107,0.45
Alex Acker,G,det,2006,34,2,8,25,0,2,0,0,0,0,2,6,33.3,0.5,0.25
Lindsey Hunter,SG,det,2006,34,1.3,3.4,38.3,0.4,1.4,30,0.1,0.1,100,0.9,1.9,44.4,0.936,0.45
Jason Maxiell,PF,det,2006,34,1.1,2.3,48,0,0,0,0.8,2.1,39.1,1.1,2.3,48,1.32,0.48
Carlos Arroyo,PG,det,2006,34,0.9,3.1,28.6,0.1,0.1,66.7,0.7,1,69.2,0.8,3,27,0.831,0.3
Darko Milicic,C,det,2006,34,0.8,1.5,55.6,0,0,0,0.2,0.2,100,0.8,1.5,55.6,1.222,0.56
Dale Davis,PF,det,2006,34,0.4,0.7,54.5,0,0,0,0.4,0.6,66.7,0.4,0.7,54.5,1.636,0.55
Richard Hamilton,SG,det,2007,33,7.1,15.3,46.3,0.5,1.6,32.8,5.2,6.1,86.4,6.6,13.7,47.9,1.303,0.48
Chauncey Billups,PG,det,2007,33,5,11.5,43.3,1.5,4.5,34.2,5.5,6.1,91,3.4,7,49.2,1.48,0.5
Tayshaun Prince,SF,det,2007,33,5.5,11.9,46.4,0.9,2.5,36.6,2.3,3,78,4.6,9.4,49,1.201,0.5
Rasheed Wallace,PF,det,2007,33,4.6,11,42.1,1.6,4.1,38.1,1.2,1.4,80.4,3.1,6.9,44.4,1.088,0.49
Chris Webber,C,det,2007,33,4.6,9.7,47.1,0.1,0.1,66.7,2,3.1,63.9,4.5,9.6,46.8,1.157,0.48
Amir Johnson,F,det,2007,33,2.5,7.5,33.3,0,0.5,0,5,6.5,76.9,2.5,7,35.7,1.333,0.33
Antonio McDyess,PF,det,2007,33,3.3,6,54.3,0,0,0,1,1.6,60.9,3.3,6,54.3,1.243,0.54
Ronald Murray,SG,det,2007,33,2.6,6.1,42,0.4,1.1,36.8,1.1,1.5,75,2.1,5,43.2,1.097,0.45
Nazr Mohammed,C,det,2007,33,2.3,4.3,52.8,0,0,0,1,1.7,60.5,2.3,4.3,52.8,1.296,0.53
Lindsey Hunter,SG,det,2007,33,2.1,4.9,42.5,0.9,2.4,37.5,0.5,0.5,100,1.2,2.5,47.3,1.13,0.52
Carlos Delfino,SG,det,2007,33,2.1,4.8,44.2,0.5,1.6,32.8,0.6,0.8,78.1,1.6,3.2,49.6,1.117,0.49
Jason Maxiell,PF,det,2007,33,1.7,3.8,45.5,0,0,0,1.1,2.1,55.6,1.7,3.8,45.5,1.209,0.46
Will Blalock,SG,det,2007,33,0.6,1.6,36.4,0,0.4,0,0.6,0.6,100,0.6,1.1,50,1.091,0.36
Dale Davis,PF,det,2007,33,0.6,1.6,37.5,0,0,0,0.3,0.5,50,0.6,1.6,37.5,0.906,0.38
Ronald Dupree,SF,det,2007,33,0,0.5,0,0,0,0,0.2,0.3,50,0,0.5,0,0.333,0
Richard Hamilton,SG,det,2007,34,7.5,15.9,47.2,0.6,1.8,35.4,4,4.6,85.6,6.9,14.1,48.7,1.234,0.49
Chauncey Billups,PG,det,2007,34,5,11.8,42.1,1.6,4.5,34.8,5.5,6.4,85.8,3.4,7.3,46.7,1.443,0.49
Tayshaun Prince,SF,det,2007,34,5.7,12.4,45.7,1.1,2.7,40.4,1.9,2.5,75.2,4.6,9.8,47.1,1.149,0.5
Rasheed Wallace,PF,det,2007,34,4.9,11.5,42.6,1.2,3.8,31.6,1.8,2.3,77.8,3.7,7.7,48,1.109,0.48
Chris Webber,C,det,2007,34,4.8,9.3,51.1,0,0.2,0,1.9,3,63.3,4.8,9.2,51.9,1.226,0.51
Antonio McDyess,PF,det,2007,34,3.7,7.1,51.2,0,0,0,1.4,1.8,76,3.7,7.1,51.2,1.218,0.51
Ronald Murray,SG,det,2007,34,2.6,6.6,39,0.3,1.3,22.2,1.4,1.9,70.6,2.3,5.3,43,1.03,0.41
Nazr Mohammed,C,det,2007,34,2.3,4.4,53.5,0,0,0,0.9,1.5,61.5,2.3,4.4,53.5,1.281,0.54
Jason Maxiell,PF,det,2007,34,2.2,4,54.7,0,0,0,1,2,49.2,2.2,4,54.7,1.344,0.55
Carlos Delfino,SG,det,2007,34,1.7,4.4,38.5,0.6,1.8,33.8,1.1,1.4,78.9,1.1,2.6,41.9,1.162,0.46
Amir Johnson,F,det,2007,34,2.2,3,72.2,0,0.3,0,0.2,0.2,100,2.2,2.7,81.3,1.5,0.72
Lindsey Hunter,SG,det,2007,34,1.5,4.5,32.7,0.5,2.1,23.4,0.7,0.9,84.2,1,2.3,41.2,0.929,0.38
Dale Davis,PF,det,2007,34,0.8,1.6,50,0,0,0,0.5,0.6,75,0.8,1.6,50,1.286,0.5
Will Blalock,SG,det,2007,34,0.7,2.7,26.3,0.1,0.3,50,0.3,0.3,100,0.6,2.4,23.5,0.684,0.29
Ronald Dupree,SF,det,2007,34,0.8,2.2,39.3,0,0,0,0.2,0.5,28.6,0.8,2.2,39.3,0.857,0.39
Richard Hamilton,SG,det,2008,33,7,13.8,50.8,1,2,50,2.3,2.8,82.7,6,11.8,50.9,1.256,0.54
Chauncey Billups,PG,det,2008,33,4.7,10.5,45.2,1.8,4.6,39,5.5,6,91.5,3,5.9,50,1.599,0.54
Tayshaun Prince,SF,det,2008,33,5,11,45,0.8,1.8,44,2,2.7,75.2,4.2,9.2,45.2,1.155,0.49
Rasheed Wallace,PF,det,2008,33,4.4,10.3,42.6,1.2,3.8,32.6,1.1,1.4,75.5,3.1,6.5,48.4,1.074,0.49
Antonio McDyess,PF,det,2008,33,4.1,7.9,51.9,0,0,0,1.2,2,61,4.1,7.9,51.9,1.193,0.52
Jason Maxiell,PF,det,2008,33,3.5,6.3,55.6,0,0,0,2,3.3,61,3.5,6.2,55.9,1.436,0.56
Rodney Stuckey,PG,det,2008,33,2.7,6.7,40.5,0,0.2,16.7,2.4,2.9,80.7,2.7,6.5,41.2,1.17,0.41
Jarvis Hayes,SF,det,2008,33,2.7,6.2,44.3,0.9,2.2,39.1,0.6,0.7,80,1.9,3.9,47.2,1.123,0.51
Ronald Murray,SG,det,2008,33,2.1,6,35.4,0.3,1.4,18.2,1.3,1.8,71.4,1.9,4.6,40.5,0.958,0.38
Juan Dixon,SG,det,2008,33,2.1,4.8,44.2,0.6,1.9,29.4,0,0.4,0,1.6,2.9,53.8,1,0.5
Nazr Mohammed,C,det,2008,33,1.8,4,44.4,0,0.1,0,1.1,2.2,50,1.8,3.9,45.7,1.167,0.44
Arron Afflalo,G,det,2008,33,1.5,3.5,42.4,0.2,0.6,24,1,1.4,72.2,1.3,2.9,46.5,1.173,0.45
Amir Johnson,F,det,2008,33,1.7,3,55.8,0,0,0,0.6,0.8,75,1.7,3,55.8,1.317,0.56
Theo Ratliff,C,det,2008,33,1.3,2.8,48,0,0,0,0.8,1.1,70,1.3,2.8,48,1.24,0.48
Lindsey Hunter,SG,det,2008,33,1,2.9,34.2,0.2,1.4,11.1,0.3,0.5,66.7,0.8,1.5,55,0.842,0.37
